=========================================
2024-03-04 20:15:25,627 [trainer.py] => config: ./exps/FeCAM_cifar100.json
2024-03-04 20:15:25,627 [trainer.py] => prefix: train
2024-03-04 20:15:25,627 [trainer.py] => dataset: cifar100
2024-03-04 20:15:25,627 [trainer.py] => memory_size: 0
2024-03-04 20:15:25,627 [trainer.py] => shuffle: True
2024-03-04 20:15:25,627 [trainer.py] => init_cls: 50
2024-03-04 20:15:25,627 [trainer.py] => increment: 10
2024-03-04 20:15:25,627 [trainer.py] => model_name: fecam
2024-03-04 20:15:25,627 [trainer.py] => convnet_type: resnet18
2024-03-04 20:15:25,627 [trainer.py] => device: [device(type='cuda', index=0)]
2024-03-04 20:15:25,627 [trainer.py] => seed: 1993
2024-03-04 20:15:25,627 [trainer.py] => init_epochs: 200
2024-03-04 20:15:25,628 [trainer.py] => init_lr: 0.1
2024-03-04 20:15:25,628 [trainer.py] => init_weight_decay: 0.0005
2024-03-04 20:15:25,628 [trainer.py] => batch_size: 128
2024-03-04 20:15:25,628 [trainer.py] => num_workers: 8
2024-03-04 20:15:25,628 [trainer.py] => T: 5
2024-03-04 20:15:25,628 [trainer.py] => beta: 0.5
2024-03-04 20:15:25,628 [trainer.py] => alpha1: 1
2024-03-04 20:15:25,628 [trainer.py] => alpha2: 1
2024-03-04 20:15:25,628 [trainer.py] => ncm: False
2024-03-04 20:15:25,628 [trainer.py] => tukey: False
2024-03-04 20:15:25,628 [trainer.py] => diagonal: False
2024-03-04 20:15:25,628 [trainer.py] => per_class: True
2024-03-04 20:15:25,628 [trainer.py] => full_cov: True
2024-03-04 20:15:25,628 [trainer.py] => shrink: True
2024-03-04 20:15:25,628 [trainer.py] => norm_cov: False
2024-03-04 20:15:25,628 [trainer.py] => vecnorm: False
2024-03-04 20:15:25,628 [trainer.py] => ae_type: ae
2024-03-04 20:15:25,628 [trainer.py] => epochs: 20000
2024-03-04 20:15:25,628 [trainer.py] => ae_latent_dim: 32
2024-03-04 20:15:25,628 [trainer.py] => wae_sigma: 10
2024-03-04 20:15:25,628 [trainer.py] => wae_C: 0.8
Files already downloaded and verified
Files already downloaded and verified
2024-03-04 20:15:27,265 [data_manager.py] => [68, 56, 78, 8, 23, 84, 90, 65, 74, 76, 40, 89, 3, 92, 55, 9, 26, 80, 43, 38, 58, 70, 77, 1, 85, 19, 17, 50, 28, 53, 13, 81, 45, 82, 6, 59, 83, 16, 15, 44, 91, 41, 72, 60, 79, 52, 20, 10, 31, 54, 37, 95, 14, 71, 96, 98, 97, 2, 64, 66, 42, 22, 35, 86, 24, 34, 87, 21, 99, 0, 88, 27, 18, 94, 11, 12, 47, 25, 30, 46, 62, 69, 36, 61, 7, 63, 75, 5, 32, 4, 51, 48, 73, 93, 39, 67, 29, 49, 57, 33]
2024-03-04 20:15:27,544 [fecam.py] => Learning on 0-50
/home/z1165703/miniconda3/lib/python3.11/site-packages/torch/utils/data/dataloader.py:557: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
/home/z1165703/miniconda3/lib/python3.11/site-packages/torch/utils/data/dataloader.py:557: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
Processing class: 0
Training regular Auto Encoder
Epoch:   100  |  train loss: 0.0014131844
Epoch:   200  |  train loss: 0.0003280059
Epoch:   300  |  train loss: 0.0003160493
Epoch:   400  |  train loss: 0.0003116671
Epoch:   500  |  train loss: 0.0003089878
Epoch:   600  |  train loss: 0.0003063946
Epoch:   700  |  train loss: 0.0003039061
Epoch:   800  |  train loss: 0.0003009850
Epoch:   900  |  train loss: 0.0002983283
Epoch:  1000  |  train loss: 0.0002956941
Epoch:  1100  |  train loss: 0.0002933527
Epoch:  1200  |  train loss: 0.0002911734
Epoch:  1300  |  train loss: 0.0002886450
Epoch:  1400  |  train loss: 0.0002834265
Epoch:  1500  |  train loss: 0.0002608399
Epoch:  1600  |  train loss: 0.0002485539
Epoch:  1700  |  train loss: 0.0002432966
Epoch:  1800  |  train loss: 0.0002394308
Epoch:  1900  |  train loss: 0.0002361914
Epoch:  2000  |  train loss: 0.0002336030
Epoch:  2100  |  train loss: 0.0002315500
Epoch:  2200  |  train loss: 0.0002290607
Epoch:  2300  |  train loss: 0.0002263004
Epoch:  2400  |  train loss: 0.0002223558
Epoch:  2500  |  train loss: 0.0002153619
Epoch:  2600  |  train loss: 0.0002086717
Epoch:  2700  |  train loss: 0.0002033195
Epoch:  2800  |  train loss: 0.0001994023
Epoch:  2900  |  train loss: 0.0001959370
Epoch:  3000  |  train loss: 0.0001929044
Epoch:  3100  |  train loss: 0.0001901997
Epoch:  3200  |  train loss: 0.0001874148
Epoch:  3300  |  train loss: 0.0001842930
Epoch:  3400  |  train loss: 0.0001811252
Epoch:  3500  |  train loss: 0.0001770676
Epoch:  3600  |  train loss: 0.0001735233
Epoch:  3700  |  train loss: 0.0001697386
Epoch:  3800  |  train loss: 0.0001663761
Epoch:  3900  |  train loss: 0.0001632623
Epoch:  4000  |  train loss: 0.0001605600
Epoch:  4100  |  train loss: 0.0001575726
Epoch:  4200  |  train loss: 0.0001548093
Epoch:  4300  |  train loss: 0.0001525903
Epoch:  4400  |  train loss: 0.0001501004
Epoch:  4500  |  train loss: 0.0001480634
Epoch:  4600  |  train loss: 0.0001454791
Epoch:  4700  |  train loss: 0.0001438192
Epoch:  4800  |  train loss: 0.0001417464
Epoch:  4900  |  train loss: 0.0001394179
Epoch:  5000  |  train loss: 0.0001376960
Epoch:  5100  |  train loss: 0.0001357047
Epoch:  5200  |  train loss: 0.0001339239
Epoch:  5300  |  train loss: 0.0001318088
Epoch:  5400  |  train loss: 0.0001301357
Epoch:  5500  |  train loss: 0.0001282263
Epoch:  5600  |  train loss: 0.0001263621
Epoch:  5700  |  train loss: 0.0001243521
Epoch:  5800  |  train loss: 0.0001228859
Epoch:  5900  |  train loss: 0.0001210308
Epoch:  6000  |  train loss: 0.0001191604
Epoch:  6100  |  train loss: 0.0001173878
Epoch:  6200  |  train loss: 0.0001158668
Epoch:  6300  |  train loss: 0.0001144639
Epoch:  6400  |  train loss: 0.0001129893
Epoch:  6500  |  train loss: 0.0001113834
Epoch:  6600  |  train loss: 0.0001101398
Epoch:  6700  |  train loss: 0.0001089557
Epoch:  6800  |  train loss: 0.0001074791
Epoch:  6900  |  train loss: 0.0001063175
Epoch:  7000  |  train loss: 0.0001047750
Epoch:  7100  |  train loss: 0.0001042277
Epoch:  7200  |  train loss: 0.0001022617
Epoch:  7300  |  train loss: 0.0001015302
Epoch:  7400  |  train loss: 0.0001001497
Epoch:  7500  |  train loss: 0.0000987892
Epoch:  7600  |  train loss: 0.0000981242
Epoch:  7700  |  train loss: 0.0000970250
Epoch:  7800  |  train loss: 0.0000956485
Epoch:  7900  |  train loss: 0.0000947526
Epoch:  8000  |  train loss: 0.0000938064
